Random waveform, supplied seed
Total number of intervals = 400 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730)
Average QPS expected = 57995
Timestamp start: 1778621207779
Timestamp end: 1778623008168

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      276.3   155.7    93.8   142.3   156.5   251.6   304.3   333.2   353.7   377.7   408.6   460.5   654.9  2094.3  4016.2  99687.3    99700
read      294.8   132.7    93.8   152.3   167.3   287.1   331.1   355.4   372.2   392.9   419.2   460.6   560.3  1709.8  3938.2  32049.8    32052
read      281.1   123.5   101.3   163.6   182.0   278.1   308.6   324.7   336.9   350.2   368.9   397.7   467.3   982.5  5903.4  18174.7    18173
read      294.7   176.7    86.8   142.0   155.5   263.0   322.9   356.1   380.2   410.1   455.8   544.5   794.7  1982.1  5608.7  67982.7    67789
read      288.7   134.0    93.8   142.9   156.5   273.4   326.4   354.7   374.3   399.3   433.2   493.1   653.2  1416.2  3028.2  51940.7    51929
read      317.4   248.6    86.8   143.4   158.1   263.1   322.2   357.2   384.5   422.7   493.0   705.9  1200.2  2825.2  7302.7  83969.3    83850
read      276.5    95.2   101.3   163.3   182.2   275.2   303.0   317.7   329.1   342.1   360.7   389.6   458.2   800.3  2318.2  18504.9    18614
read      290.0   117.5    93.8   152.9   168.3   285.1   325.7   347.0   363.6   382.1   404.7   443.4   534.5  1265.4  3383.6  29430.0    29315
read      404.6   466.5    86.8   156.1   175.9   306.5   370.6   412.6   448.2   496.6   573.4   800.5  3053.9  5036.5  8060.2 107859.3   108090
read      284.3   115.3    93.8   154.2   170.0   281.0   316.6   336.4   350.2   367.4   389.8   425.1   517.3  1101.6  4054.4  27047.8    27024
read      303.9   168.1    93.8   144.2   158.3   282.0   339.6   372.8   398.2   429.3   468.5   529.2   700.9  1884.7  4650.7  49850.4    49907
read      261.6    82.8   109.4   176.6   195.1   257.5   279.0   291.2   299.6   311.3   324.5   346.4   412.4  1062.5  2017.9   9168.0     9150
read      296.1   109.4    93.8   152.3   167.5   289.6   336.0   361.7   379.8   400.7   428.6   470.1   566.5   852.3  2632.2  34183.3    34328
read      288.5   128.4    93.8   141.1   154.2   271.5   327.3   359.7   383.6   411.8   448.3   501.0   625.4   926.7  2137.5  51760.0    51881
read      273.6   127.9   101.3   166.5   186.4   269.3   295.3   310.3   320.1   334.0   349.5   374.9   446.0  1194.1  6779.6  14522.7    14569
read      277.6   173.3    86.8   140.7   154.2   251.1   306.4   335.3   355.6   378.9   408.6   460.1   714.7  2363.3  4293.2  81587.3    81517
read      272.2   125.6    86.8   141.3   154.6   251.8   307.8   336.5   356.6   379.4   407.5   454.1   591.2  1255.4  3083.1  78528.4    78694
read      280.1   158.2    86.8   144.1   158.3   255.9   309.1   337.6   358.1   382.0   412.9   463.5   659.1  2131.5  3911.7  93503.8    93409
read      288.8   115.5    93.8   149.3   163.4   282.2   327.3   351.2   369.0   390.2   417.7   463.6   581.7   912.5  3619.1  39157.3    39093
read      273.3    90.6    93.8   159.4   177.1   271.8   301.7   317.4   329.3   342.6   361.2   389.2   453.4   662.2  2485.6  18715.6    18729
read      305.6   222.3    93.8   139.5   152.5   262.7   328.6   369.2   401.8   443.9   498.5   583.5   805.0  3264.5  5989.9  70940.7    70818
read      276.0    85.7    93.8   155.9   172.8   275.4   307.6   324.4   337.5   352.1   370.9   400.1   463.1   622.2  1891.7  21966.9    21942
read      305.3   264.4    86.8   142.2   156.5   257.3   314.4   346.7   371.8   403.4   455.3   589.1  1081.3  3490.5  7873.3  91815.8    91810
